"","gene"
"RVBD_3882c","eccE1"
"RVBD_3883c","mycP1"
"RVBD_3884c","eccA2"
"RVBD_3885c","eccE2"
"RVBD_3886c","mycP2"
"RVBD_3887c","eccD2"
"RVBD_3888c","-"
"RVBD_3889c","espG2"
"RVBD_3890c","esxC"
"RVBD_3891c","esxD"
"RVBD_3892c","PPE69"
"RVBD_3893c","PE36"
"RVBD_3894c","eccC2"
"RVBD_3895c","eccB2"
"RVBD_3896c","-"
"RVBD_3897c","-"
"RVBD_3898c","-"
"RVBD_3899c","-"
"RVBD_3900c","-"
"RVBD_3901c","-"
"RVBD_3901A","?"
"RVBD_3902c","-"
"RVBD_3903c","-"
"RVBD_3904c","esxE"
"RVBD_3905c","esxF"
"RVBD_3906c","-"
"RVBD_3907c","pcnA"
"RVBD_3908","mutT4"
"RVBD_3909","-"
"RVBD_3910","-"
"RVBD_3911","sigM"
"RVBD_3912","-"
"RVBD_3913","trxB2"
"RVBD_3914","trxC"
"RVBD_3915","-"
"RVBD_3916c","-"
"RVBD_3917c","parB"
"RVBD_3918c","parA"
"RVBD_3919c","gid"
"RVBD_3920c","-"
"RVBD_3921c","-"
"RVBD_3922c","-"
"RVBD_3923c","rnpA"
"RVBD_3924c","rpmH"
