"","gene"
"RVBD_0858c","dapC"
"RVBD_0859","fadA"
"RVBD_0860","fadB"
"RVBD_0861c","ercc3"
"RVBD_0862c","-"
"RVBD_0863","-"
"RVBD_0864","moaC2"
"RVBD_0865","mog"
"RVBD_0866","moaE2"
"RVBD_0867c","rpfA"
"RVBD_0868c","moaD2"
"RVBD_0869c","moaA2"
"RVBD_0870c","-"
"RVBD_0871","cspB"
"RVBD_0872c","PE_PGRS15"
"RVBD_0873","fadE10"
"RVBD_0874c","-"
"RVBD_0875c","-"
"RVBD_0876c","-"
"RVBD_0877","-"
"RVBD_0878c","PPE13"
"RVBD_0879c","-"
"RVBD_0880","-"
"RVBD_0881","-"
"RVBD_0882","-"
"RVBD_0883c","-"
"RVBD_0884c","serC"
"RVBD_0885","-"
"RVBD_0886","fprB"
"RVBD_0887c","-"
"RVBD_0887B","?"
"RVBD_0888","-"
"RVBD_0889c","citA"
"RVBD_0890c","-"
"RVBD_0891c","-"
"RVBD_0891A","?"
"RVBD_0892","-"
"RVBD_0893c","-"
"RVBD_0894","-"
"RVBD_0895","-"
"RVBD_0896","gltA2"
"RVBD_0897c","-"
"RVBD_0898c","-"
"RVBD_0899","ompA"
"RVBD_0900","-"
"RVBD_0901","-"
"RVBD_0902c","prrB"
"RVBD_0903c","prrA"
"RVBD_0904c","accD3"
"RVBD_0905","echA6"
"RVBD_0906","-"
"RVBD_0907","-"
"RVBD_0908","ctpE"
"RVBD_0908A","?"
"RVBD_0909","-"
"RVBD_0910","-"
"RVBD_0911","-"
"RVBD_0912","-"
"RVBD_0912Ac","?"
"RVBD_0913c","-"
"RVBD_0914c","-"
"RVBD_0915c","PPE14"
"RVBD_0916c","PE7"
"RVBD_0917","betP"
"RVBD_0917A","?"
"RVBD_0918","-"
"RVBD_0919","-"
"RVBD_0920c","-"
"RVBD_0921","-"
"RVBD_0922","-"
"RVBD_0923c","-"
"RVBD_0924c","mntH"
"RVBD_0925c","-"
"RVBD_0926c","-"
"RVBD_0927c","-"
"RVBD_0928","pstS3"
"RVBD_0929","pstC2"
"RVBD_0930","pstA1"
"RVBD_0931c","pknD"
"RVBD_0932c","pstS2"
"RVBD_0933","pstB"
"RVBD_0934","pstS1"
"RVBD_0935","pstC1"
"RVBD_0936","pstA2"
"RVBD_0937c","mku"
"RVBD_0938","ligD"
"RVBD_0939","-"
"RVBD_0940c","-"
"RVBD_0941c","-"
"RVBD_0942","-"
"RVBD_0943c","-"
"RVBD_0944","-"
"RVBD_0945","-"
"RVBD_0946c","pgi"
"RVBD_0946Ac","?"
"RVBD_0947c","?"
"RVBD_0948c","-"
"RVBD_0949","uvrD1"
"RVBD_0950c","-"
"RVBD_0951","sucC"
"RVBD_0952","sucD"
"RVBD_0953c","-"
"RVBD_0954","-"
"RVBD_0955","-"
"RVBD_0956","purN"
"RVBD_0957","purH"
"RVBD_0958","-"
"RVBD_0959","-"
"RVBD_0959A","vapB9"
"RVBD_0960","vapC9"
"RVBD_0961","-"
"RVBD_0962c","lprP"
"RVBD_0962Ac","?"
"RVBD_0963c","-"
"RVBD_0964c","-"
"RVBD_0965c","-"
"RVBD_0966c","-"
"RVBD_0967","csoR"
"RVBD_0968","-"
"RVBD_0969","ctpV"
"RVBD_0970","-"
"RVBD_0971c","echA7"
"RVBD_0972c","fadE12"
